query_id,query_text,tau_method,traditional_recall,semantic_recall,tolerant_recall,n_semantic_neighbors,tolerance_pct_used,tolerant_minus_traditional
32,Draft a cold outreach LinkedIn message for a SaaS product targeting HR directors.,Taumode,1.000000,1.000000,1.000000,7,0.9314,0.000000
33,Generate a 30-day social media content calendar for a local coffee shop.,Cosine,1.000000,1.000000,1.000000,7,4.0538,0.000000
33,Generate a 30-day social media content calendar for a local coffee shop.,Hybrid,1.000000,1.000000,1.000000,7,4.0538,0.000000
33,Generate a 30-day social media content calendar for a local coffee shop.,Taumode,1.000000,1.000000,1.000000,7,4.0538,0.000000
34,Create a standard operating procedure (SOP) for onboarding new freelance writers.,Cosine,1.000000,1.000000,1.000000,7,1.3176,0.000000
34,Create a standard operating procedure (SOP) for onboarding new freelance writers.,Hybrid,1.000000,1.000000,1.000000,7,1.3176,0.000000
34,Create a standard operating procedure (SOP) for onboarding new freelance writers.,Taumode,1.000000,1.000000,1.000000,7,1.3176,0.000000
35,Write a comprehensive prompt to get an AI to act as a rigorous technical interviewer.,Cosine,1.000000,1.000000,1.000000,7,0.9681,0.000000
35,Write a comprehensive prompt to get an AI to act as a rigorous technical interviewer.,Hybrid,1.000000,1.000000,1.000000,7,0.9681,0.000000
35,Write a comprehensive prompt to get an AI to act as a rigorous technical interviewer.,Taumode,1.000000,1.000000,1.000000,7,0.9681,0.000000
36,Develop a workout plan for a beginner training for a 5k with bad knees.,Cosine,1.000000,1.000000,1.000000,7,1.2596,0.000000
36,Develop a workout plan for a beginner training for a 5k with bad knees.,Hybrid,1.000000,1.000000,1.000000,7,1.2596,0.000000
36,Develop a workout plan for a beginner training for a 5k with bad knees.,Taumode,1.000000,1.000000,1.000000,7,1.2596,0.000000
37,Outline a five-slide pitch deck for a pre-seed AI health-tech startup.,Cosine,1.000000,1.000000,1.000000,7,2.5902,0.000000
37,Outline a five-slide pitch deck for a pre-seed AI health-tech startup.,Hybrid,1.000000,1.000000,1.000000,7,2.5902,0.000000
37,Outline a five-slide pitch deck for a pre-seed AI health-tech startup.,Taumode,1.000000,1.000000,1.000000,7,2.5902,0.000000
38,Write a bash script that backs up a PostgreSQL database and uploads it to an S3 bucket daily.,Cosine,1.000000,1.000000,1.000000,7,1.9395,0.000000
38,Write a bash script that backs up a PostgreSQL database and uploads it to an S3 bucket daily.,Hybrid,1.000000,1.000000,1.000000,7,1.9395,0.000000
38,Write a bash script that backs up a PostgreSQL database and uploads it to an S3 bucket daily.,Taumode,1.000000,1.000000,1.000000,7,1.9395,0.000000
39,Create a template for a weekly one-on-one meeting agenda between a manager and a direct report.,Cosine,1.000000,1.000000,1.000000,7,2.8945,0.000000
39,Create a template for a weekly one-on-one meeting agenda between a manager and a direct report.,Hybrid,1.000000,1.000000,1.000000,7,2.8945,0.000000
39,Create a template for a weekly one-on-one meeting agenda between a manager and a direct report.,Taumode,1.000000,1.000000,1.000000,7,2.8945,0.000000
40,Generate a list of 20 creative name ideas for a plant-based dog food brand.,Cosine,1.000000,1.000000,1.000000,7,1.4995,0.000000
40,Generate a list of 20 creative name ideas for a plant-based dog food brand.,Hybrid,1.000000,1.000000,1.000000,7,1.4995,0.000000
40,Generate a list of 20 creative name ideas for a plant-based dog food brand.,Taumode,1.000000,1.000000,1.000000,7,1.4995,0.000000
