query_id,query_text,min_length,spearman_cosine_hybrid,spearman_cosine_taumode,spearman_hybrid_taumode,kendall_cosine_hybrid,kendall_cosine_taumode,kendall_hybrid_taumode,ndcg_hybrid_vs_cosine,ndcg_taumode_vs_cosine,ndcg_taumode_vs_hybrid
16,Is there a quick way to clean up this messy Excel file without doing it manually?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17,What happens if I accidentally put regular gas in a premium car?,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18,"I think my coworker is stealing my ideas, how do I bring this up to HR?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19,How do I fix a leaky faucet in my kitchen without calling a plumber?,25,0.998462,0.998462,1.000000,0.986667,0.986667,1.000000,0.999942,0.999942,0.999942
20,"My dog keeps eating grass and throwing up, should I be worried?",25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
21,Configuring BGP routing policies for multi-homed AS with unequal bandwidth links.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
22,Optimizing garbage collection pauses in Java 17 using ZGC for low-latency trading applications.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
23,Implementing a custom loss function in PyTorch for highly imbalanced multi-class image segmentation.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
24,Troubleshooting 502 Bad Gateway errors in Kubernetes NGINX Ingress Controller behind an AWS ALB.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
25,Calculating the aerodynamic drag coefficient using OpenFOAM for a simplified Formula SAE car.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
26,Resolving dependency conflicts between React 18 concurrent mode and legacy Redux middleware.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
27,Using WebGL shaders to implement physically based rendering (PBR) materials.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
28,Designing a microstrip patch antenna for 2.4 GHz using HFSS.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
29,Mitigating SSRF vulnerabilities in a Node.js microservice handling user-provided webhooks.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
30,Configuring a reverse proxy to handle WebSocket connections with mutual TLS authentication.,25,0.999231,0.999231,1.000000,0.993333,0.993333,1.000000,0.998437,0.998437,0.998437
31,Write a python script to scrape product titles and prices from a Shopify store.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
32,Draft a cold outreach LinkedIn message for a SaaS product targeting HR directors.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
33,Generate a 30-day social media content calendar for a local coffee shop.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999986,0.999986,0.999986
34,Create a standard operating procedure (SOP) for onboarding new freelance writers.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
35,Write a comprehensive prompt to get an AI to act as a rigorous technical interviewer.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
36,Develop a workout plan for a beginner training for a 5k with bad knees.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
37,Outline a five-slide pitch deck for a pre-seed AI health-tech startup.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
38,Write a bash script that backs up a PostgreSQL database and uploads it to an S3 bucket daily.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
39,Create a template for a weekly one-on-one meeting agenda between a manager and a direct report.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
40,Generate a list of 20 creative name ideas for a plant-based dog food brand.,25,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
